student,forum,datecreated,type
3,21,1611017953,0
10,21,1611017953,1
12,21,1611017953,0
18,21,1611017953,0
21,21,1611017953,1
3,22,1613936526,0
12,22,1613936526,0
18,22,1613936526,1
21,22,1613936526,0
24,22,1613936526,1
26,22,1613936526,0
3,23,1607811838,0
11,23,1607811838,0
12,23,1607811838,1
26,23,1607811838,1
30,23,1607811838,0
4,24,1608073189,0
10,24,1608073189,1
18,24,1608073189,0
20,24,1608073189,0
24,24,1608073189,0
9,25,1605905276,0
24,25,1605905276,1
25,25,1605905276,0
27,25,1605905276,0
30,25,1605905276,1
1,26,1607122157,1
2,26,1607122157,1
10,26,1607122157,1
18,26,1607122157,0
1,27,1615968943,0
10,27,1615968943,0
21,27,1615968943,1
21,27,1615968943,0
2,28,1605950517,0
3,28,1605950517,0
8,28,1605950517,0
10,28,1605950517,0
12,28,1605950517,1
24,28,1605950517,1
26,28,1605950517,0
3,29,1616279224,0
8,29,1616279224,0
12,29,1616279224,0
18,29,1616279224,1
21,29,1616279224,1
26,29,1616279224,0
1,30,1608796361,1
3,30,1608796361,0
11,30,1608796361,0
26,30,1608796361,0
30,30,1608796361,1
4,31,1611429704,1
10,31,1611429704,0
11,31,1611429704,0
18,31,1611429704,0
20,31,1611429704,0
24,31,1611429704,1
1,32,1609561861,0
2,32,1609561861,0
3,32,1609561861,0
4,32,1609561861,1
8,32,1609561861,0
11,32,1609561861,1
15,32,1609561861,0
23,32,1609561861,0
27,32,1609561861,1
1,33,1611569689,1
3,33,1611569689,0
4,33,1611569689,0
8,33,1611569689,1
11,33,1611569689,1
15,33,1611569689,1
19,33,1611569689,0
23,33,1611569689,1
27,33,1611569689,0
3,34,1612566798,1
8,34,1612566798,1
11,34,1612566798,0
19,34,1612566798,0
27,34,1612566798,1
1,35,1608056997,0
2,35,1608056997,0
4,35,1608056997,0
9,35,1608056997,0
24,35,1608056997,0
25,35,1608056997,0
27,35,1608056997,1
1,36,1614230683,1
4,36,1614230683,1
9,36,1614230683,1
24,36,1614230683,1
25,36,1614230683,1
27,36,1614230683,0
4,37,1616319798,0
21,37,1616319798,1
21,37,1616319798,1
26,37,1616319798,0
1,38,1608764936,0
2,38,1608764936,0
18,38,1608764936,1
21,38,1608764936,0
21,38,1608764936,1
2,39,1611388051,1
10,39,1611388051,0
18,39,1611388051,0
21,39,1611388051,1
21,39,1611388051,1
1,40,1609491264,1
2,40,1609491264,1
12,40,1609491264,0
15,40,1609491264,1
23,40,1609491264,1
25,40,1609491264,1
27,40,1609491264,1
2,41,1608962821,1
10,41,1608962821,1
12,41,1608962821,1
18,41,1608962821,1
21,41,1608962821,0
21,41,1608962821,1
26,41,1608962821,0
2,42,1615374635,1
3,42,1615374635,0
8,42,1615374635,0
10,42,1615374635,1
21,42,1615374635,0
24,42,1615374635,1
1,43,1617069851,1
3,43,1617069851,1
11,43,1617069851,1
26,43,1617069851,0
30,43,1617069851,0
1,44,1609897961,1
2,44,1609897961,1
4,44,1609897961,0
9,44,1609897961,1
25,44,1609897961,1
27,44,1609897961,1
30,44,1609897961,0
2,45,1609946463,1
25,45,1609946463,0
1,46,1613584411,0
2,46,1613584411,1
4,46,1613584411,1
9,46,1613584411,1
24,46,1613584411,0
25,46,1613584411,1
30,46,1613584411,1
1,47,1615683630,1
2,47,1615683630,1
4,47,1615683630,1
9,47,1615683630,0
24,47,1615683630,1
27,47,1615683630,1
30,47,1615683630,1
4,48,1608136985,0
9,48,1608136985,0
26,48,1608136985,0
3,49,1612642980,1
9,49,1612642980,0
21,49,1612642980,0
26,49,1612642980,1
18,50,1607604317,1
21,50,1607604317,0
1,51,1613011395,0
2,51,1613011395,1
18,51,1613011395,1
21,51,1613011395,0
21,51,1613011395,1
1,52,1614975876,0
2,52,1614975876,0
10,52,1614975876,1
18,52,1614975876,1
21,52,1614975876,1
1,53,1614367461,0
2,53,1614367461,1
3,53,1614367461,1
15,53,1614367461,1
20,53,1614367461,1
25,53,1614367461,0
27,53,1614367461,0
1,66,1607662119,0
2,66,1607662119,1
9,66,1607662119,0
25,66,1607662119,0
27,66,1607662119,1
30,66,1607662119,0
1,72,1610609470,0
2,72,1610609470,0
4,72,1610609470,0
23,72,1610609470,0
27,72,1610609470,0
3,75,1614191425,0
10,75,1614191425,0
12,75,1614191425,1
18,75,1614191425,1
21,75,1614191425,0
26,75,1614191425,0
1,78,1606155406,0
2,78,1606155406,0
4,78,1606155406,1
9,78,1606155406,0
24,78,1606155406,1
30,78,1606155406,0
2,82,1616784816,0
10,82,1616784816,1
12,82,1616784816,1
21,82,1616784816,0
21,82,1616784816,0
24,82,1616784816,1
26,82,1616784816,1
1,85,1608058296,1
2,85,1608058296,0
3,85,1608058296,0
4,85,1608058296,0
8,85,1608058296,0
15,85,1608058296,1
19,85,1608058296,1
23,85,1608058296,1
1,91,1609011522,1
10,91,1609011522,1
18,91,1609011522,0
21,91,1609011522,1
21,91,1609011522,1
2,98,1610684971,0
4,98,1610684971,1
9,98,1610684971,1
24,98,1610684971,1
25,98,1610684971,0
1,99,1613190944,1
2,99,1613190944,1
4,99,1613190944,1
9,99,1613190944,0
24,99,1613190944,0
25,99,1613190944,1
30,99,1613190944,1
3,102,1614576831,1
9,102,1614576831,1
21,102,1614576831,1
21,102,1614576831,0
26,102,1614576831,1
10,105,1615296417,0
18,105,1615296417,0
21,105,1615296417,0
21,105,1615296417,0
1,126,1610303957,0
11,126,1610303957,1
12,126,1610303957,0
30,126,1610303957,1
1,143,1615492982,0
2,143,1615492982,0
9,143,1615492982,0
24,143,1615492982,1
25,143,1615492982,0
30,143,1615492982,0
2,160,1616194050,0
3,160,1616194050,0
8,160,1616194050,0
12,160,1616194050,1
18,160,1616194050,0
21,160,1616194050,1
21,160,1616194050,1
26,160,1616194050,0
1,161,1610112665,0
3,161,1610112665,0
11,161,1610112665,1
12,161,1610112665,0
26,161,1610112665,0
30,161,1610112665,1
1,165,1612581954,0
2,165,1612581954,1
3,165,1612581954,0
4,165,1612581954,0
11,165,1612581954,0
19,165,1612581954,1
27,165,1612581954,1
2,172,1609579174,0
3,172,1609579174,1
8,172,1609579174,0
21,172,1609579174,1
24,172,1609579174,1
8,173,1615572113,1
10,173,1615572113,0
12,173,1615572113,0
18,173,1615572113,0
21,173,1615572113,0
21,173,1615572113,1
1,178,1615942784,0
2,178,1615942784,0
4,178,1615942784,0
9,178,1615942784,1
25,178,1615942784,0
27,178,1615942784,0
30,178,1615942784,0
10,182,1614299004,1
18,182,1614299004,0
21,182,1614299004,0
21,182,1614299004,1
1,183,1615575858,1
2,183,1615575858,0
10,183,1615575858,0
18,183,1615575858,0
21,183,1615575858,0
21,183,1615575858,1
1,190,1613010687,0
2,190,1613010687,0
3,190,1613010687,1
4,190,1613010687,0
8,190,1613010687,1
15,190,1613010687,1
19,190,1613010687,1
23,190,1613010687,1
27,190,1613010687,1
10,195,1611575544,0
21,195,1611575544,1
21,195,1611575544,0
1,200,1609323248,0
2,200,1609323248,1
9,200,1609323248,1
24,200,1609323248,1
25,200,1609323248,0
27,200,1609323248,0
1,203,1615940007,1
2,203,1615940007,0
4,203,1615940007,0
9,203,1615940007,1
24,203,1615940007,1
25,203,1615940007,1
27,203,1615940007,1
30,203,1615940007,1
3,212,1616594063,1
12,212,1616594063,1
26,212,1616594063,0
1,215,1613761341,0
2,215,1613761341,0
9,215,1613761341,1
24,215,1613761341,1
25,215,1613761341,1
27,215,1613761341,1
30,215,1613761341,0
2,221,1614818560,0
10,221,1614818560,0
18,221,1614818560,0
21,221,1614818560,1
